Month,Date,Hour,Minute,Electric Cooling[kW](Hourly),Electric Refrigeration[kW](Hourly),Electric Heating[kW](Hourly),Lights & Others[kW](Hourly)
1,1,1,0,20.5,30.5,10.5,5
,1,2,0,21.5,31.5,11.5,6
,,,,22.5,32.5,12.5,7
,,,,23.5,33.5,13.5,8
,,,,24.5,34.5,14.5,9
,,,,25.5,35.5,15.5,10
,,,,26.5,36.5,16.5,11
,,,,27.5,37.5,17.5,12
,,,,28.5,38.5,18.5,13
,,,,29.5,39.5,19.5,14
,,,,30.5,40.5,20.5,15
,,,,31.5,41.5,21.5,16
,,,,32.5,42.5,22.5,17
,,,,33.5,43.5,23.5,18
,,,,34.5,44.5,24.5,19
,,,,35.5,45.5,25.5,20
,,,,36.5,46.5,26.5,21
,,,,37.5,47.5,27.5,22
,,,,38.5,48.5,28.5,23
,,,,39.5,49.5,29.5,24
,,,,40.5,50.5,30.5,25
,,,,41.5,51.5,31.5,26
,,,,42.5,52.5,32.5,27
,,,,43.5,53.5,33.5,28
,,,,44.5,54.5,34.5,29
,,,,45.5,55.5,35.5,30
,,,,46.5,56.5,36.5,31
,,,,47.5,57.5,37.5,32
,,,,48.5,58.5,38.5,33
,,,,49.5,59.5,39.5,34
,,,,50.5,60.5,40.5,35
,,,,51.5,61.5,41.5,36
,,,,52.5,62.5,42.5,37
,,,,53.5,63.5,43.5,38
,,,,54.5,64.5,44.5,39
,,,,55.5,65.5,45.5,40
,,,,56.5,66.5,46.5,41
,,,,57.5,67.5,47.5,42
,,,,58.5,68.5,48.5,43
,,,,59.5,69.5,49.5,44
,,,,60.5,70.5,50.5,45
,,,,61.5,71.5,51.5,46
,,,,62.5,72.5,52.5,47
,,,,63.5,73.5,53.5,48
,,,,64.5,74.5,54.5,49
,,,,65.5,75.5,55.5,50
,,,,66.5,76.5,56.5,51
,,,,67.5,77.5,57.5,52
,,,,68.5,78.5,58.5,53
,,,,69.5,79.5,59.5,54
,,,,70.5,80.5,60.5,55
,,,,71.5,81.5,61.5,56
,,,,72.5,82.5,62.5,57
,,,,73.5,83.5,63.5,58
,,,,20.5,30.5,10.5,5
,,,,20.5,30.5,10.5,5
